,node,eigenvector_centrality,betweenness_centrality,degree_centrality
0,Clinton,0.7080583214438041,0.9818840579710145,1.0833333333333333
1,Hillary Clinton,0.17191359451200453,0.0,0.08333333333333333
2,Trump,0.27486441026282477,0.0036231884057971015,0.25
3,Donald Trump,0.20835507477517315,0.0,0.125
4,Mike Pence,0.20835507477517315,0.0,0.125
5,Elizabeth Warren,0.12383961624978469,0.0,0.041666666666666664
6,Bill Clinton,0.12383961624978469,0.0,0.041666666666666664
7,Newt Gingrich,0.12383961624978469,0.0,0.041666666666666664
8,Chris Christie,0.12383961624978469,0.0,0.041666666666666664
9,Steve Peoples,0.12383961624978469,0.0,0.041666666666666664
10,Penn,0.12383961624978469,0.0,0.041666666666666664
11,Cory Booker,0.12383961624978469,0.0,0.041666666666666664
12,Jeff Sessions,0.12383961624978469,0.0,0.041666666666666664
13,Hinckley,0.12383961624978469,0.0,0.041666666666666664
14,Gingrich,0.12383961624978469,0.0,0.041666666666666664
15,Mitt Romney,0.12383961624978469,0.0,0.041666666666666664
16,Julian Castro,0.12383961624978469,0.0,0.041666666666666664
17,Tim Kaine,0.12383961624978469,0.0,0.041666666666666664
18,Kevin Madden,0.12383961624978469,0.0,0.041666666666666664
19,Warren,0.12383961624978469,0.0,0.041666666666666664
20,Pence,0.12383961624978469,0.0,0.041666666666666664
21,Cheryl Mills,0.12383961624978469,0.0,0.041666666666666664
22,Obama,0.12383961624978469,0.0,0.041666666666666664
23,James Hamilton,0.12383961624978469,0.0,0.041666666666666664
24,John Podesta,0.12383961624978469,0.0,0.041666666666666664
