,nodeA,nodeB,weight
0,Catherine Cortez Masto,Kamala Harris,1
1,Kamala Harris,Tammy Duckworth,1
2,Kamala Harris,Maggie Hassan,1
3,Catherine Cortez Masto,Tammy Duckworth,1
4,Catherine Cortez Masto,Maggie Hassan,1
5,Maggie Hassan,Tammy Duckworth,1
6,Donald Trump,Hillary Clinton,8
7,Donald Trump,Elizabeth Warren,4
8,Donald Trump,Warren,2
9,Clinton,Donald Trump,20
10,Donald Trump,Donald Trump,2
11,Donald Trump,Trump,14
12,Donald Trump,Newt Gingrich,4
13,Chris Christie,Donald Trump,4
14,Donald Trump,Jeff Sessions,2
15,Donald Trump,Mike Pence,10
16,Donald Trump,Hinckley,2
17,Donald Trump,Gingrich,2
18,Donald Trump,Julian Castro,2
19,Donald Trump,Tim Kaine,2
20,Cory Booker,Donald Trump,2
21,Donald Trump,James Hamilton,2
22,Donald Trump,John Podesta,2
23,Cheryl Mills,Donald Trump,2
24,Donald Trump,Obama,2
25,Bill Clinton,Donald Trump,2
26,Donald Trump,Pence,2
27,Donald Trump,Kevin Madden,2
28,Donald Trump,Mitt Romney,2
29,Donald Trump,Penn,2
30,Donald Trump,Steve Peoples,2
31,Hillary Clinton,Hillary Clinton,4
32,Elizabeth Warren,Hillary Clinton,6
33,Hillary Clinton,Warren,3
34,Clinton,Hillary Clinton,34
35,Hillary Clinton,Trump,13
36,Hillary Clinton,Newt Gingrich,4
37,Chris Christie,Hillary Clinton,4
38,Hillary Clinton,Jeff Sessions,3
39,Hillary Clinton,Mike Pence,7
40,Hillary Clinton,Hinckley,3
41,Gingrich,Hillary Clinton,3
42,Hillary Clinton,Julian Castro,3
43,Hillary Clinton,Tim Kaine,3
44,Cory Booker,Hillary Clinton,3
45,Hillary Clinton,James Hamilton,3
46,Hillary Clinton,John Podesta,3
47,Cheryl Mills,Hillary Clinton,3
48,Hillary Clinton,Obama,3
49,Bill Clinton,Hillary Clinton,5
50,Hillary Clinton,Pence,3
51,Hillary Clinton,Kevin Madden,3
52,Hillary Clinton,Mitt Romney,3
53,Hillary Clinton,Penn,3
54,Hillary Clinton,Steve Peoples,3
55,Elizabeth Warren,Warren,2
56,Clinton,Elizabeth Warren,18
57,Elizabeth Warren,Trump,6
58,Elizabeth Warren,Newt Gingrich,2
59,Chris Christie,Elizabeth Warren,2
60,Elizabeth Warren,Jeff Sessions,2
61,Elizabeth Warren,Mike Pence,2
62,Elizabeth Warren,Hinckley,2
63,Elizabeth Warren,Gingrich,2
64,Elizabeth Warren,Elizabeth Warren,1
65,Elizabeth Warren,Julian Castro,2
66,Elizabeth Warren,Tim Kaine,2
